Travel;Axlepath_X;
0;0.000;
10;-1.165;
20;-2.088;
30;-2.767;
40;-3.198;
50;-3.376;
60;-3.297;
70;-2.952;
80;-2.332;
90;-1.422;
100;-0.205;
110;1.346;
120;3.271;
130;5.634;
140;8.548;
150;12.248;
