Travel;Shock_Compression;Gradient;
0;0.000;0.489;
10;4.927;0.497;
20;9.939;0.506;
30;15.062;0.519;
40;20.324;0.534;
50;25.754;0.553;
60;31.388;0.575;
70;37.265;0.602;
80;43.437;0.634;
90;49.964;0.673;
100;56.928;0.722;
110;64.437;0.783;
120;72.649;0.863;
130;81.798;0.973;
140;92.287;1.137;
150;104.906;1.415;
