Travel;Chain_Growth;
0;0.000;
10;1.685;
20;3.359;
30;5.018;
40;6.657;
50;8.273;
60;9.858;
70;11.406;
80;12.909;
90;14.354;
100;15.727;
110;17.005;
120;18.155;
130;19.120;
140;19.805;
150;20.004;
