Travel;Chain_Growth;
0;0.000;
10;1.691;
20;3.371;
30;5.036;
40;6.681;
50;8.302;
60;9.892;
70;11.446;
80;12.954;
90;14.404;
100;15.782;
110;17.064;
120;18.217;
130;19.186;
140;19.874;
150;20.072;
