Travel;Leverage_Ratio;
0;2.044;
10;2.014;
20;1.975;
30;1.928;
40;1.872;
50;1.810;
60;1.740;
70;1.662;
80;1.578;
90;1.486;
100;1.386;
110;1.277;
120;1.159;
130;1.027;
140;0.880;
150;0.706;
