Travel;Pedal-kickback;
0;0.000;
10;2.299;
20;4.529;
30;6.687;
40;8.767;
50;10.765;
60;12.675;
70;14.490;
80;16.200;
90;17.793;
100;19.251;
110;20.550;
120;21.650;
130;22.492;
140;22.967;
150;22.843;
