Travel;Anti-squat;
0;1.583;
10;1.566;
20;1.538;
30;1.496;
40;1.440;
50;1.368;
60;1.276;
70;1.159;
80;1.011;
90;0.822;
100;0.576;
110;0.247;
120;-0.210;
130;-0.880;
140;-1.953;
150;-3.961;
