Travel;Axle_Path_steepness;
0;97.388;
10;96.031;
20;94.652;
30;93.250;
40;91.822;
50;90.364;
60;88.869;
70;87.326;
80;85.723;
90;84.039;
100;82.244;
110;80.288;
120;78.090;
130;75.497;
140;72.189;
150;67.330;
