Travel;Anti-squat;
0;1.303;
10;1.280;
20;1.255;
30;1.226;
40;1.194;
50;1.157;
60;1.116;
70;1.068;
80;1.013;
90;0.946;
100;0.866;
110;0.764;
120;0.629;
130;0.441;
140;0.151;
150;-0.376;
