Travel;Pedal-kickback;
0;0.000;
10;0.623;
20;1.230;
30;1.817;
40;2.378;
50;2.909;
60;3.403;
70;3.853;
80;4.250;
90;4.583;
100;4.834;
110;4.983;
120;4.994;
130;4.814;
140;4.345;
150;3.385;
