Travel;Pedal-kickback;
0;0.000;
10;0.830;
20;1.593;
30;2.289;
40;2.918;
50;3.481;
60;3.977;
70;4.407;
80;4.770;
90;5.068;
100;5.298;
110;5.460;
120;5.555;
130;5.581;
140;5.537;
150;5.422;
