Travel;Anti-rise;
0;1.069;
10;1.050;
20;1.031;
30;1.013;
40;0.994;
50;0.975;
60;0.956;
70;0.937;
80;0.918;
90;0.899;
100;0.879;
110;0.859;
120;0.839;
130;0.819;
140;0.799;
150;0.778;
