Travel;Anti-squat;
0;0.510;
10;0.475;
20;0.440;
30;0.404;
40;0.367;
50;0.330;
60;0.292;
70;0.253;
80;0.213;
90;0.172;
100;0.129;
110;0.086;
120;0.041;
130;-0.006;
140;-0.054;
150;-0.104;
