Travel;Anti-squat;
0;-0.595;
10;-0.661;
20;-0.730;
30;-0.800;
40;-0.873;
50;-0.948;
60;-1.026;
70;-1.106;
80;-1.190;
90;-1.276;
100;-1.366;
110;-1.460;
120;-1.557;
130;-1.658;
140;-1.764;
150;-1.875;
