Travel;Chain_Growth;
0;0.000;
10;0.545;
20;1.069;
30;1.571;
40;2.053;
50;2.514;
60;2.954;
70;3.373;
80;3.772;
90;4.149;
100;4.506;
110;4.842;
120;5.156;
130;5.449;
140;5.720;
150;5.969;
