Travel;Leverage_Ratio;
0;3.014;
10;2.988;
20;2.963;
30;2.938;
40;2.915;
50;2.893;
60;2.874;
70;2.856;
80;2.841;
90;2.830;
100;2.822;
110;2.820;
120;2.823;
130;2.834;
140;2.854;
150;2.885;
