Travel;Axlepath_X;
0;0.000;
10;-0.963;
20;-1.676;
30;-2.141;
40;-2.358;
50;-2.328;
60;-2.050;
70;-1.525;
80;-0.751;
90;0.273;
100;1.549;
110;3.080;
120;4.868;
130;6.917;
140;9.231;
150;11.815;
