Travel;Axle_Path_steepness;
0;96.282;
10;94.860;
20;93.440;
30;92.022;
40;90.606;
50;89.190;
60;87.774;
70;86.356;
80;84.936;
90;83.512;
100;82.085;
110;80.653;
120;79.215;
130;77.770;
140;76.317;
150;74.855;
