Travel;Chain_Growth;
0;0.000;
10;0.542;
20;1.064;
30;1.564;
40;2.044;
50;2.502;
60;2.941;
70;3.358;
80;3.755;
90;4.131;
100;4.486;
110;4.820;
120;5.133;
130;5.425;
140;5.695;
150;5.943;
