Travel;Frequency;
0;1.474;
10;1.487;
20;1.500;
30;1.512;
40;1.524;
50;1.536;
60;1.546;
70;1.556;
80;1.564;
90;1.570;
100;1.574;
110;1.576;
120;1.574;
130;1.568;
140;1.557;
150;1.540;
