Travel;Pedal-kickback;
0;0.000;
10;-0.323;
20;-0.678;
30;-1.063;
40;-1.480;
50;-1.928;
60;-2.409;
70;-2.923;
80;-3.471;
90;-4.052;
100;-4.669;
110;-5.322;
120;-6.012;
130;-6.740;
140;-7.507;
150;-8.314;
