Travel;Shock_Compression;Gradient;
0;0.000;0.332;
10;3.332;0.335;
20;6.693;0.338;
30;10.082;0.340;
40;13.499;0.343;
50;16.943;0.346;
60;20.411;0.348;
70;23.902;0.350;
80;27.413;0.352;
90;30.940;0.353;
100;34.480;0.354;
110;38.025;0.355;
120;41.571;0.354;
130;45.107;0.353;
140;48.625;0.350;
150;52.111;0.347;
