Travel;Anti-squat;
0;1.396;
10;1.382;
20;1.368;
30;1.354;
40;1.339;
50;1.323;
60;1.307;
70;1.290;
80;1.273;
90;1.254;
100;1.235;
110;1.215;
120;1.195;
130;1.173;
140;1.150;
150;1.126;
160;1.100;
170;1.074;
180;1.046;
190;1.016;
200;0.985;
