Travel;Pedal-kickback;
0;0.000;
10;-0.144;
20;-0.294;
30;-0.450;
40;-0.614;
50;-0.784;
60;-0.962;
70;-1.148;
80;-1.342;
90;-1.545;
100;-1.758;
110;-1.980;
120;-2.212;
130;-2.454;
140;-2.708;
150;-2.972;
160;-3.249;
170;-3.538;
180;-3.840;
190;-4.156;
200;-4.485;
