Travel;Frequency;
0;1.351;
10;1.384;
20;1.418;
30;1.452;
40;1.485;
50;1.519;
60;1.553;
70;1.587;
80;1.620;
90;1.654;
100;1.687;
110;1.720;
120;1.753;
130;1.786;
140;1.819;
150;1.851;
160;1.883;
170;1.915;
180;1.948;
190;1.983;
200;2.021;
