Travel;Chain_Growth;
0;0.000;
10;-0.114;
20;-0.221;
30;-0.321;
40;-0.416;
50;-0.504;
60;-0.588;
70;-0.667;
80;-0.743;
90;-0.815;
100;-0.884;
110;-0.951;
120;-1.016;
130;-1.079;
140;-1.141;
150;-1.203;
160;-1.264;
170;-1.325;
180;-1.387;
190;-1.450;
200;-1.514;
