Travel;Axlepath_X;
0;0.000;
10;-3.213;
20;-6.156;
30;-8.836;
40;-11.257;
50;-13.424;
60;-15.341;
70;-17.011;
80;-18.437;
90;-19.622;
100;-20.567;
110;-21.275;
120;-21.746;
130;-21.981;
140;-21.981;
150;-21.746;
160;-21.275;
170;-20.567;
180;-19.622;
190;-18.437;
200;-17.011;
