Travel;Anti-squat;
0;1.541;
10;1.520;
20;1.499;
30;1.478;
40;1.458;
50;1.437;
60;1.416;
70;1.395;
80;1.374;
90;1.353;
100;1.332;
110;1.310;
120;1.288;
130;1.265;
140;1.242;
150;1.218;
160;1.194;
170;1.169;
180;1.143;
190;1.117;
200;1.089;
