Travel;Axle_Path_radius;
0;425.011;
10;425.011;
20;425.011;
30;425.011;
40;425.011;
50;425.011;
60;425.011;
70;425.011;
80;425.011;
90;425.011;
100;425.011;
110;425.011;
120;425.011;
130;425.011;
140;425.011;
150;425.011;
160;425.011;
170;425.011;
180;425.011;
190;425.011;
200;425.011;
