Travel;Chain_Growth;
0;0.000;
10;-0.118;
20;-0.229;
30;-0.334;
40;-0.432;
50;-0.525;
60;-0.613;
70;-0.696;
80;-0.776;
90;-0.852;
100;-0.925;
110;-0.996;
120;-1.065;
130;-1.132;
140;-1.198;
150;-1.264;
160;-1.329;
170;-1.394;
180;-1.460;
190;-1.526;
200;-1.594;
