Travel;Anti-rise;
0;1.408;
10;1.385;
20;1.362;
30;1.339;
40;1.317;
50;1.296;
60;1.275;
70;1.254;
80;1.233;
90;1.213;
100;1.192;
110;1.172;
120;1.152;
130;1.132;
140;1.112;
150;1.092;
160;1.072;
170;1.052;
180;1.032;
190;1.012;
200;0.991;
