Travel;Pedal-kickback;
0;0.000;
10;0.667;
20;1.305;
30;1.913;
40;2.493;
50;3.045;
60;3.569;
70;4.065;
80;4.534;
90;4.975;
100;5.388;
110;5.775;
120;6.133;
130;6.464;
140;6.768;
150;7.044;
160;7.292;
170;7.511;
180;7.702;
190;7.864;
200;7.997;
