Travel;Shock_Compression;Gradient;
0;0.000;0.301;
10;3.043;0.308;
20;6.162;0.316;
30;9.355;0.323;
40;12.623;0.331;
50;15.966;0.338;
60;19.384;0.346;
70;22.877;0.353;
80;26.446;0.361;
90;30.089;0.368;
100;33.807;0.375;
110;37.599;0.383;
120;41.464;0.390;
130;45.403;0.398;
140;49.415;0.405;
150;53.498;0.412;
160;57.653;0.419;
170;61.880;0.426;
180;66.179;0.434;
190;70.553;0.441;
200;75.008;0.450;
