Travel;Axle_Path_steepness;
0;108.591;
10;107.175;
20;105.769;
30;104.373;
40;102.985;
50;101.605;
60;100.232;
70;98.865;
80;97.503;
90;96.146;
100;94.791;
110;93.440;
120;92.090;
130;90.741;
140;89.393;
150;88.045;
160;86.695;
170;85.344;
180;83.990;
190;82.633;
200;81.271;
