Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SLP1_X;SLP1_Y;SLP2_X;SLP2_Y;SLP3_X;SLP3_Y;SWL1_X;SWL1_Y;L1L2_X;L1L2_Y;FRL2_X;FRL2_Y;CHGU_X;CHGU_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
0;-438.0;5.0;0.0;0.0;835.3;24.0;175.0;285.0;-27.6;84.5;-35.0;140.0;-43.5;-20.0;0.0;58.0;64.0;-5.0;-438.0;5.0;-3.0;-70.0;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
10;-441.2;15.0;0.0;0.0;835.3;24.0;175.0;285.0;-25.4;86.7;-35.0;140.0;-44.8;-16.9;1.5;59.5;64.0;-5.0;-441.2;15.0;-8.0;-69.6;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
20;-444.2;25.0;0.0;0.0;835.3;24.0;175.0;285.0;-23.2;88.8;-35.0;140.0;-45.9;-13.7;3.1;61.0;64.0;-5.0;-444.2;25.0;-12.8;-68.9;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
30;-446.8;35.0;0.0;0.0;835.3;24.0;175.0;285.0;-20.8;90.9;-35.0;140.0;-46.7;-10.5;4.8;62.5;64.0;-5.0;-446.8;35.0;-17.6;-67.8;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
40;-449.3;45.0;0.0;0.0;835.3;24.0;175.0;285.0;-18.3;93.1;-35.0;140.0;-47.3;-7.3;6.5;64.0;64.0;-5.0;-449.3;45.0;-22.1;-66.5;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
50;-451.4;55.0;0.0;0.0;835.3;24.0;175.0;285.0;-15.7;95.2;-35.0;140.0;-47.7;-4.0;8.3;65.5;64.0;-5.0;-451.4;55.0;-26.6;-64.8;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
60;-453.3;65.0;0.0;0.0;835.3;24.0;175.0;285.0;-13.0;97.3;-35.0;140.0;-47.9;-0.8;10.3;66.9;64.0;-5.0;-453.3;65.0;-30.9;-62.9;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
70;-455.0;75.0;0.0;0.0;835.3;24.0;175.0;285.0;-10.2;99.4;-35.0;140.0;-47.8;2.3;12.3;68.4;64.0;-5.0;-455.0;75.0;-35.0;-60.7;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
80;-456.4;85.0;0.0;0.0;835.3;24.0;175.0;285.0;-7.2;101.5;-35.0;140.0;-47.6;5.5;14.4;69.8;64.0;-5.0;-456.4;85.0;-38.9;-58.3;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
90;-457.6;95.0;0.0;0.0;835.3;24.0;175.0;285.0;-4.0;103.5;-35.0;140.0;-47.1;8.6;16.6;71.3;64.0;-5.0;-457.6;95.0;-42.7;-55.6;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
