Travel;Leverage_Ratio;
0;3.327;
10;3.246;
20;3.169;
30;3.096;
40;3.025;
50;2.958;
60;2.894;
70;2.832;
80;2.773;
90;2.717;
100;2.663;
110;2.612;
120;2.563;
130;2.516;
140;2.471;
150;2.428;
160;2.386;
170;2.346;
180;2.306;
190;2.266;
200;2.223;
