Travel;Chain_Growth;
0;0.000;
10;2.012;
20;4.032;
30;6.061;
40;8.099;
50;10.144;
60;12.197;
70;14.258;
80;16.326;
90;18.402;
100;20.485;
110;22.575;
120;24.672;
130;26.777;
140;28.888;
150;31.006;
158;32.706;
