Travel;Anti-squat;
0;1.559;
10;1.552;
20;1.544;
30;1.537;
40;1.529;
50;1.521;
60;1.512;
70;1.503;
80;1.494;
90;1.485;
100;1.475;
110;1.464;
120;1.453;
130;1.442;
140;1.430;
150;1.417;
158;1.407;
