Travel;Axle_Path_radius;
0;479.633;
10;479.633;
20;479.633;
30;479.633;
40;479.633;
50;479.633;
60;479.633;
70;479.633;
80;479.633;
90;479.633;
100;479.633;
110;479.633;
120;479.633;
130;479.633;
140;479.633;
150;479.633;
158;479.633;
