Travel;Axle_Path_steepness;
0;100.597;
10;99.384;
20;98.175;
30;96.970;
40;95.768;
50;94.569;
60;93.371;
70;92.175;
80;90.980;
90;89.785;
100;88.591;
110;87.395;
120;86.199;
130;85.001;
140;83.800;
150;82.597;
158;81.633;
