Travel;Leverage_Ratio;
0;2.509;
10;2.510;
20;2.509;
30;2.509;
40;2.508;
50;2.506;
60;2.504;
70;2.502;
80;2.499;
90;2.497;
100;2.494;
110;2.491;
120;2.488;
130;2.485;
140;2.482;
150;2.480;
158;2.478;
