Travel;Shock_Compression;Gradient;
0;0.000;0.398;
10;3.985;0.398;
20;7.969;0.398;
30;11.955;0.399;
40;15.942;0.399;
50;19.931;0.399;
60;23.923;0.399;
70;27.918;0.400;
80;31.917;0.400;
90;35.920;0.401;
100;39.928;0.401;
110;43.940;0.401;
120;47.957;0.402;
130;51.978;0.402;
140;56.005;0.403;
150;60.036;0.403;
158;63.263;0.404;
