Travel;Anti-rise;
0;1.207;
10;1.189;
20;1.171;
30;1.153;
40;1.136;
50;1.118;
60;1.101;
70;1.083;
80;1.065;
90;1.047;
100;1.029;
110;1.011;
120;0.993;
130;0.974;
140;0.955;
150;0.936;
158;0.920;
