Travel;Pedal-kickback;
0;0.000;
10;2.559;
20;5.075;
30;7.549;
40;9.981;
50;12.373;
60;14.723;
70;17.032;
80;19.301;
90;21.529;
100;23.717;
110;25.864;
120;27.971;
130;30.038;
140;32.065;
150;34.051;
158;35.611;
