Travel;Axlepath_X;
0;0.000;
10;-1.751;
20;-3.284;
30;-4.603;
40;-5.709;
50;-6.603;
60;-7.286;
70;-7.760;
80;-8.025;
90;-8.081;
100;-7.929;
110;-7.568;
120;-6.998;
130;-6.218;
140;-5.227;
150;-4.024;
158;-2.907;
