Travel;Pedal-kickback;
0;0.000;
10;1.006;
20;2.015;
30;3.026;
40;4.039;
50;5.053;
60;6.067;
70;7.081;
80;8.095;
90;9.107;
100;10.118;
110;11.127;
120;12.134;
130;13.137;
140;14.137;
150;15.134;
158;15.928;
