Travel;Chain_Growth;
0;0.000;
10;2.004;
20;4.017;
30;6.039;
40;8.069;
50;10.107;
60;12.153;
70;14.207;
80;16.268;
90;18.337;
100;20.413;
110;22.496;
120;24.586;
130;26.683;
140;28.788;
150;30.899;
158;32.594;
