Travel;Frequency;
0;0.855;
10;0.711;
20;0.622;
30;0.568;
40;0.536;
50;0.519;
60;0.513;
70;0.515;
80;0.525;
90;0.541;
100;0.565;
110;0.594;
120;0.632;
130;0.677;
140;0.733;
150;0.803;
158;0.868;
