Travel;Anti-squat;
0;2.318;
10;2.353;
20;2.387;
30;2.420;
40;2.453;
50;2.484;
60;2.514;
70;2.543;
80;2.571;
90;2.598;
100;2.624;
110;2.648;
120;2.672;
130;2.695;
140;2.716;
150;2.737;
158;2.752;
